Player,NBA_Country,Salary,Age
Zhou Qi,China,815615,22
Zaza Pachulia,Georgia,3477600,33
Zach Randolph,USA,12307692,36
Zach LaVine,USA,3202217,22
Zach Collins,USA,3057240,20
Yogi Ferrell,USA,1312611,24
Xavier Silas,USA,74159,30
Xavier Rathan-Mayes,Canada,46080,23
Xavier Munford,USA,0,25
Wilson Chandler,USA,12016854,30
Willy Hernangomez,Spain,1435750,23
Willie Reed,USA,1577230,27
Willie Cauley-Stein,USA,3704160,24
Will Barton,USA,3533333,27
Wesley Matthews,USA,17884176,31
Wesley Johnson,USA,5881260,30
Wesley Iwundu,USA,1050000,23
Wayne Selden,USA,1312611,23
Wayne Ellington,USA,6270000,30
Wade Baldwin,USA,1874400,21
Vince Hunter,USA,50000,23
Vince Carter,USA,8000000,41
Victor Oladipo,USA,21000000,25
Vander Blue,USA,50000,25
Udonis Haslem,USA,2328652,37
Tyus Jones,USA,1471382,21
Tyson Chandler,USA,13000000,35
Tyrone Wallace,USA,0,23
Tyreke Evans,USA,3290000,28
Tyler Zeller,USA,1709538,28
Tyler Ulis,USA,1312611,22
Tyler Lydon,USA,1579440,21
Tyler Johnson,USA,5881260,25
Tyler Ennis,Canada,1524305,23
Tyler Dorsey,USA,815615,21
Tyler Cavanaugh,USA,679919,23
Troy Williams,USA,1471382,23
Troy Daniels,USA,3408520,26
Tristan Thompson,Canada,16400000,26
Trey McKinney-Jones,USA,46080,27
Trey Lyles,USA,2441400,22
Trey Burke,USA,784160,25
Trevor Booker,USA,9125000,30
Trevor Ariza,USA,7420912,32
Treveon Graham,USA,1312611,24
Travis Wear,USA,148318,27
Torrey Craig,USA,0,27
Tony Snell,USA,9821429,26
Tony Parker,France,15453126,35
Tony Bradley,USA,1414920,20
Tony Allen,USA,2116955,36
Tomas Satoransky,Czech Republic,3000000,26
Tobias Harris,USA,16000000,25
Timothe Luwawu-Cabarrot,France,1386600,22
Timofey Mozgov,Russia,15280000,31
Tim Quarterman,USA,0,23
Tim Hardaway,USA,16500000,25
Tim Frazier,USA,2000000,27
Thon Maker,South Sudan,2684160,20
Thomas Bryant,USA,815615,20
Thaddeus Young,USA,14796348,29
Thabo Sefolosha,Switzerland,5250000,33
Terry Rozier,USA,1988520,23
Terrence Ross,USA,10500000,26
Terrance Ferguson,USA,1785000,19
Taurean Waller-Prince,USA,2422560,23
Tarik Black,USA,3290000,26
Taj Gibson,USA,14000000,32
T.J. Warren,USA,3152931,24
T.J. McConnell,USA,1471382,25
T.J. Leaf,USA,2028360,20
Steven Adams,New Zealand,22471910,24
Sterling Brown,USA,815615,22
Stephen Curry,USA,34682550,29
Stanley Johnson,USA,3097800,21
Spencer Dinwiddie,USA,1524305,24
Solomon Hill,USA,12236535,26
Skal Labissiere,Haiti,1312611,21
Sindarius Thornwell,USA,815615,23
Shelvin Mack,USA,6000000,27
Shaun Livingston,USA,7692308,32
Shaquille Harrison,USA,92160,24
Shane Larkin,USA,1524305,25
Shabazz Napier,USA,2361360,26
Shabazz Muhammad,USA,1577230,25
Serge Ibaka,Democratic Re…,20061729,28
Semi Ojeleye,USA,1291892,23
Sean Kilpatrick,USA,1524305,28
Scotty Hopson,USA,74159,28
Sam Dekker,USA,1794600,23
